date,BOGZ1FL624123035Q,BOGZ1FL624090005Q,BOGZ1FL624190005Q,BOGZ1FL622151005Q,BOGZ1FL663067003Q,hf_equity,pb_intensity,pb_intensity_g,dealer_supply_g,repo_intensity,repo_intensity_g,year,quarter,pb_intensity_g_mean,pb_intensity_g_std,dealer_supply_g_mean,dealer_supply_g_std,pb_intensity_g_z,dealer_supply_g_z,quarter_end_date,equity_net_z_qtr,rates_net_z_qtr,fx_net_z_qtr,dealer_financing_z_qtr,settlement_friction_z_qtr,weeks_in_quarter,pb_intensity_g_nowcast,pb_intensity_g_lag1,pb_lead,pb_lead_mean,pb_lead_std,pb_lead_z,pb_lead_percentile,run_rate_regime,stress_flag
2012-10-01,158967.0,1144799.0,339590.0,42948.0,215543.0,805209.0,0.19742327768318535,,,0.05333770486917061,,2012,4,,,,,,,2012-12-25,0.1731501896823668,0.052540001742081406,-0.2940027941473694,-0.18418680343056776,-0.5332563313682515,13,0.008194030585733496,,,,,,,Stable,
2013-01-01,200927.0,1281887.0,413685.0,56867.0,231135.0,868202.0,0.23142886102542956,0.1589224890735328,0.06984152979990021,0.06549973393288659,0.28072512646511427,2013,1,,,,,,,2013-03-26,0.3183551117743608,-0.08629721259468214,0.06079739356817667,1.1949833480196252,0.7255385632283933,13,0.037870173032898136,,,,,,,Stable,false
2013-04-01,200345.0,1317475.0,433283.0,69276.0,236450.0,884192.0,0.22658540226557128,-0.021150604712788068,0.02273481368795771,0.07834949875140242,0.19738331782979301,2013,2,,,,,,,2013-06-25,0.2746578426046677,-0.018065373945421865,-0.46159656530588467,0.908498614808656,0.5018854902023845,13,0.02721343159628957,0.1589224890735328,0.07219194723624173,,,,93.87755102040816,Accelerating,false
2013-07-01,209531.0,1355993.0,435431.0,66231.0,226671.0,920562.0,0.22761204568513582,0.004520699852595067,-0.0422371421235237,0.0719462676060928,-0.044949894586114425,2013,3,,,,,,,2013-09-24,0.23317130837059802,0.051515537737572996,-0.49563999350139326,-0.1618917406395285,-0.674115001452025,13,0.008133874237924632,-0.021150604712788068,-0.014708447485186894,,,,26.530612244897956,Decelerating,false
2013-10-01,231232.0,1591137.0,478265.0,60391.0,241978.0,1112872.0,0.2077795110309182,-0.09116515131693537,0.06534718596693523,0.054265899402626716,-0.09230854406501798,2013,4,,,,,,,2013-12-31,-0.5705530786513092,-0.1404864811654523,-0.8815171684088863,-0.05555255943352253,-0.7807022641844317,14,-0.018969056111093875,0.004520699852595067,0.01033141899570453,,,,48.97959183673469,Stable,false
2014-01-01,233522.0,1573624.0,464762.0,62052.0,239103.0,1108862.0,0.21059608860254928,0.013464552552279851,-0.011952391496286907,0.055960074382565186,0.027132655986420673,2014,1,,,,,,,2014-03-25,-0.8713791144833367,-0.38184577910974343,-0.887579341627827,1.2581410036539664,1.0924423311913518,12,-0.007959038228705523,-0.09116515131693537,-0.03807951612648131,,,,6.122448979591836,Decelerating,false
2014-04-01,251402.0,1694342.0,510491.0,68037.0,267897.0,1183851.0,0.2123594945647721,0.008338540735927769,0.11370815684256641,0.057470914836411,0.0920789316427495,2014,2,,,,,,,2014-06-24,-0.9177355378843911,-0.6916343438857779,-0.7162740664781708,1.1688438705174904,0.6923449715942656,13,-0.013302815301226517,0.013464552552279851,0.027818506483448944,,,,65.3061224489796,Stable,false
2014-07-01,242842.0,1714370.0,526290.0,68591.0,274304.0,1188080.0,0.20439869369066055,-0.038208100262622224,0.02363440213148138,0.05773264426637937,0.008109655944867455,2014,3,,,,,,,2014-09-30,-0.31125640719822706,-0.5492564864919706,-0.36673986053951413,-0.3294192966239274,-0.7916003393409807,14,-0.016841032340269006,0.008338540735927769,0.002090676854337461,,,,40.81632653061224,Stable,false
2014-10-01,242563.0,1742393.0,515777.0,68250.0,258076.0,1226616.0,0.19774974401116568,-0.03307015522369361,-0.06098286522432517,0.05564088516699603,-0.00498389672463162,2014,4,,,,,,,2014-12-30,-0.995902976599295,-0.14921231579341618,0.40592149009052664,-0.3676589221323152,-0.43751808790638397,13,-0.022904094974251298,-0.038208100262622224,-0.037780189387699586,,,,8.16326530612245,Decelerating,false
2015-01-01,251916.0,1913341.0,591763.0,75295.0,258279.0,1321578.0,0.19061757989312775,-0.03673309068627839,0.0007862807969640784,0.05697355736853973,0.09823629747371321,2015,1,,,,,,,2015-03-31,-1.1098868286763752,0.3197165965370932,-0.19138340892794878,1.219169433564259,0.5625561610022377,13,0.0017126997963276477,-0.03307015522369361,-0.010692904210520684,,,,28.57142857142857,Decelerating,false
