date,run_rate_regime,pb_lead,pb_lead_z,stress_flag
2012-10-01,Stable,,,
2013-01-01,Stable,,,false
2013-04-01,Accelerating,0.07219194723624173,,false
2013-07-01,Decelerating,-0.014708447485186894,,false
2013-10-01,Stable,0.01033141899570453,,false
2014-01-01,Decelerating,-0.03807951612648131,,false
2014-04-01,Stable,0.027818506483448944,,false
2014-07-01,Stable,0.002090676854337461,,false
2014-10-01,Decelerating,-0.037780189387699586,,false
2015-01-01,Decelerating,-0.010692904210520684,,false
2015-04-01,Stable,-0.004386295318207781,,false
2015-07-01,Decelerating,-0.009391828298329175,,false
2015-10-01,Decelerating,-0.024268492910942636,,false
2016-01-01,Stable,0.0008726472251894789,,false
2016-04-01,Accelerating,0.06794165157342867,,false
2016-07-01,Stable,0.006901615092140162,,false
2016-10-01,Decelerating,-0.01813765489375234,,false
2017-01-01,Accelerating,0.03141833127985588,,false
2017-04-01,Accelerating,0.053796893261414666,,false
2017-07-01,Stable,-0.003342630191997786,,false
2017-10-01,Accelerating,0.03690451534637539,,false
2018-01-01,Stable,0.02863810387907123,0.6162076130436265,false
2018-04-01,Stable,0.013749104842203715,0.27337669973499334,false
2018-07-01,Stable,0.02426346589425074,0.5781463494106127,false
2018-10-01,Stable,0.005299437355739942,-0.0843032215466646,false
2019-01-01,Decelerating,-0.02839818827140137,-1.3298195507211565,false
2019-04-01,Accelerating,0.05243940382007607,1.4876192264491206,false
2019-07-01,Stable,0.01851334612218108,0.2865813371691821,false
2019-10-01,Decelerating,-0.009574053750192605,-0.7818467185520986,false
2020-01-01,Accelerating,0.039119200209849596,0.917600938857892,true
2020-04-01,Decelerating,-0.07333493621617479,-2.5164886851626043,false
2020-07-01,Accelerating,0.0936945807256365,2.0606537714683597,false
2020-10-01,Accelerating,0.05067875413915303,0.8335792978158909,false
2021-01-01,Accelerating,0.07537375209138177,1.334232548256395,false
2021-04-01,Stable,0.027787475079011616,0.17272125623829485,false
2021-07-01,Accelerating,0.0809947863464853,1.4099123688719188,false
2021-10-01,Decelerating,-0.016643104708215877,-1.05240079701407,false
2022-01-01,Stable,0.016308055961977628,-0.2018914474190261,false
2022-04-01,Decelerating,-0.029614355335481846,-1.2207785022895354,true
2022-07-01,Decelerating,-0.027883825775200145,-1.1180715346661747,false
2022-10-01,Decelerating,-0.05648072627717859,-1.5770779297433566,true
2023-01-01,Stable,0.00899503168191525,-0.09544623808287134,false
2023-04-01,Stable,0.020104134747632788,0.14572275344817817,false
2023-07-01,Accelerating,0.032586773247252135,0.414003249294729,false
2023-10-01,Decelerating,-0.024022743373187248,-0.8004052972813755,false
2024-01-01,Accelerating,0.0505504701739934,0.7511647873928906,false
2024-04-01,Accelerating,0.03143266670100568,0.35786120575700386,false
2024-07-01,Decelerating,-0.017339838265334518,-0.6837427317000487,false
2024-10-01,Accelerating,0.03885629352923974,0.503352758129089,false
2025-01-01,Stable,0.020465314986654003,0.11870698818785433,false
2025-04-01,Accelerating,0.034407352296747455,0.34729385041147925,false
