date,pb_lead,pb_lead_z,pb_lead_percentile,run_rate_regime,stress_flag,pb_intensity_g_nowcast,pb_intensity_g_lag1
2012-10-01,,,,Stable,,0.008194030585733496,
2013-01-01,,,,Stable,false,0.037870173032898136,
2013-04-01,0.07219194723624173,,93.87755102040816,Accelerating,false,0.02721343159628957,0.1589224890735328
2013-07-01,-0.014708447485186894,,26.530612244897956,Decelerating,false,0.008133874237924632,-0.021150604712788068
2013-10-01,0.01033141899570453,,48.97959183673469,Stable,false,-0.018969056111093875,0.004520699852595067
2014-01-01,-0.03807951612648131,,6.122448979591836,Decelerating,false,-0.007959038228705523,-0.09116515131693537
2014-04-01,0.027818506483448944,,65.3061224489796,Stable,false,-0.013302815301226517,0.013464552552279851
2014-07-01,0.002090676854337461,,40.81632653061224,Stable,false,-0.016841032340269006,0.008338540735927769
2014-10-01,-0.037780189387699586,,8.16326530612245,Decelerating,false,-0.022904094974251298,-0.038208100262622224
2015-01-01,-0.010692904210520684,,28.57142857142857,Decelerating,false,0.0017126997963276477,-0.03307015522369361
2015-04-01,-0.004386295318207781,,34.69387755102041,Stable,false,0.010779807422502943,-0.03673309068627839
2015-07-01,-0.009391828298329175,,32.6530612244898,Decelerating,false,0.0018581375578540765,0.02558408297933945
2015-10-01,-0.024268492910942636,,16.3265306122449,Decelerating,false,0.006303071746008675,-0.02920060186918305
2016-01-01,0.0008726472251894789,,38.775510204081634,Stable,false,0.05584787491026401,-0.04599283884512673
2016-04-01,0.06794165157342867,,91.83673469387755,Accelerating,false,0.049863970186649176,0.10228515563295404
2016-07-01,0.006901615092140162,,44.897959183673464,Stable,false,0.004782726651642071,-0.027645956507367897
2016-10-01,-0.01813765489375234,,20.40816326530612,Decelerating,false,0.0061598682459407025,0.010943299957677732
2017-01-01,0.03141833127985588,,69.38775510204081,Accelerating,false,0.0300073749985795,0.005189180091598189
2017-04-01,0.053796893261414666,,89.79591836734693,Accelerating,false,0.015187472107863495,0.0925073144519648
2017-07-01,-0.003342630191997786,,36.73469387755102,Stable,false,-0.015400044092742452,-0.001177347543696472
2017-10-01,0.03690451534637539,,77.55102040816327,Accelerating,false,0.0052580740550629695,0.020747695328814375
2018-01-01,0.02863810387907123,0.6162076130436265,67.3469387755102,Stable,false,0.04047348978919967,-0.002568609802272137
2018-04-01,0.013749104842203715,0.27337669973499334,51.02040816326531,Stable,false,0.05784124546531792,-0.00960506041773379
2018-07-01,0.02426346589425074,0.5781463494106127,61.22448979591836,Stable,false,0.02349901361364682,0.035500172140855435
