date,BOGZ1FL624123035Q,BOGZ1FL624090005Q,BOGZ1FL624190005Q,BOGZ1FL622151005Q,BOGZ1FL663067003Q,hf_equity,pb_intensity,pb_intensity_g,dealer_supply_g,repo_intensity,repo_intensity_g,year,quarter,pb_intensity_g_mean,pb_intensity_g_std,dealer_supply_g_mean,dealer_supply_g_std,pb_intensity_g_z,dealer_supply_g_z,pb_intensity_g_nowcast,pb_intensity_g_lag1,pb_lead,pb_lead_mean,pb_lead_std,pb_lead_z,pb_lead_percentile,run_rate_regime,stress_flag
2015-04-01,259782.0,1884387.0,555968.0,72605.0,262611.0,1328419.0,0.19555727522716854,0.02558408297933945,0.016633453811953913,0.054655195386395405,-0.03637994155608126,2015,2,,,,,,,,-0.03673309068627839,0.001535414904526822,,,,44.897959183673464,Stable,false
2015-07-01,243055.0,1867225.0,587513.0,73502.0,243305.0,1279712.0,0.1899294528768973,-0.02920060186918305,-0.07635804945695845,0.05743636068115326,0.012278826750232952,2015,3,,,,,,,,0.02558408297933945,-0.021815324069144028,,,,24.489795918367346,Decelerating,false
2015-10-01,231172.0,1823703.0,549269.0,67235.0,227702.0,1274434.0,0.18139189632417213,-0.04599283884512673,-0.06627804382052815,0.05275675319396689,-0.08911867145710062,2015,4,,,,,,,,-0.02920060186918305,-0.0451868571473968,,,,10.20408163265306,Decelerating,false
2016-01-01,253630.0,1833908.0,571613.0,76044.0,222864.0,1262295.0,0.200927675384914,0.10228515563295404,-0.02147603657248709,0.06024265326250995,0.12311817485354659,2016,1,,,,,,,,-0.04599283884512673,0.01944755951426549,,,,65.3061224489796,Stable,false
2016-04-01,252649.0,1896676.0,604016.0,72833.0,234006.0,1292660.0,0.19544891928271935,-0.027645956507367897,0.04878503610894036,0.05634350873392849,-0.04314297093135799,2016,2,,,,,,,,0.10228515563295404,0.03693768089582185,,,,77.55102040816327,Accelerating,false
2016-07-01,263858.0,1931442.0,596125.0,91482.0,248143.0,1335317.0,0.19759952131216782,0.010943299957677732,0.058658436836248384,0.06850957487997232,0.22797308241980296,2016,3,,,,,,,,-0.027645956507367897,0.009365844414554427,,,,55.10204081632652,Stable,false
2016-10-01,269857.0,1956687.0,598079.0,76950.0,225040.0,1358608.0,0.19862756586152885,0.005189180091598189,-0.09772702870926331,0.05663885388574188,-0.1729863713329376,2016,4,,,,,,,,0.010943299957677732,-0.018525930155489347,,,,30.61224489795918,Decelerating,false
2017-01-01,303947.0,2006823.0,611795.0,72297.0,241453.0,1395028.0,0.21787878092769464,0.0925073144519648,0.07039667299345886,0.05182476624125107,-0.06237322575699267,2017,1,,,,,,,,0.005189180091598189,0.05641830706121,,,,87.75510204081633,Accelerating,false
2017-04-01,309515.0,2022162.0,599905.0,75821.0,256737.0,1422257.0,0.21762241282693634,-0.001177347543696472,0.06137737744032634,0.05331033702066504,0.047592664605472734,2017,2,,,,,,,,0.0925073144519648,0.04725096540079068,,,,81.63265306122447,Accelerating,false
2017-07-01,326698.0,2094513.0,624124.0,77476.0,260075.0,1470389.0,0.22218474158879045,0.020747695328814375,0.012917836341571842,0.05269081855209744,0.02159291184662493,2017,3,,,,,,,,-0.001177347543696472,0.011116465576624945,,,,57.14285714285714,Stable,false
2017-10-01,344679.0,2233430.0,678123.0,70631.0,290362.0,1555307.0,0.22161476801686097,-0.002568609802272137,0.1101583694370607,0.04541289918967766,-0.09249906936971186,2017,4,0.005779527694336007,0.05689910686315942,0.014898399739599633,0.06143777811044328,-0.14671825195226973,1.5505113079808568,,0.020747695328814375,0.033773841803441354,,,,71.42857142857142,Accelerating,false
2018-01-01,344298.0,2255443.0,686861.0,80008.0,306286.0,1568582.0,0.2194963349063039,-0.00960506041773379,0.05339088557674643,0.051006577915595104,0.12465748806393329,2018,1,-0.0026468497802273226,0.04405528886296757,0.014075867528441944,0.060769973430506656,-0.1579426855910476,0.6469480868419841,,-0.002568609802272137,0.008606683796297842,0.004483061663037158,0.03172012910097468,0.13000016866684114,53.06122448979591,Stable,false
2018-04-01,358334.0,2280974.0,705384.0,88065.0,298992.0,1575590.0,0.22742845537227324,0.035500172140855435,-0.024102488790866516,0.0558933478887274,0.09594854851004442,2018,2,0.00018568906245485238,0.044620529773523473,0.011734002404500732,0.061318721551553136,0.7914402463987591,-0.5844298492955052,,-0.00960506041773379,0.0048126755124187175,0.0020813788030275607,0.02961410249130198,0.09222959602417029,48.97959183673469,Stable,false
2018-07-01,367343.0,2265645.0,700623.0,54929.0,301923.0,1565022.0,0.23472066207376,0.031560428035580346,0.009755200797970431,0.0350979091667721,-0.47203373598360976,2018,3,0.0015376754716041163,0.04516511605105418,0.014333619550575438,0.05999806912227787,0.6647332098081807,-0.07630943494654889,,0.035500172140855435,0.02748803166302415,0.004263466248144705,0.02980697148271247,0.7791655528757524,67.3469387755102,Stable,false
2018-10-01,298300.0,2174650.0,710330.0,67628.0,275326.0,1464320.0,0.20371230332167833,-0.1416874144551008,-0.0922161678622686,0.04618389423076923,0.2079806562740707,2018,4,-0.0009884376853041554,0.051580215396427515,0.006455451859115247,0.06320591260872822,-2.7277702446264227,-1.5611137573822185,,0.031560428035580346,-0.06868285793515436,0.0017566743057185904,0.033682592165099556,-2.0912740888707293,2.0408163265306123,Decelerating,false
2019-01-01,325327.0,2203406.0,690649.0,61703.0,268079.0,1512757.0,0.21505568971090533,0.054188295866896,-0.02667413692328502,0.04078844123676175,-0.09168954637911853,2019,1,0.0010477494804266517,0.052965984924636875,0.005719364587765341,0.06351653114774827,1.0032957276652337,-0.5100011119262571,,-0.1416874144551008,-0.034583810943348135,0.0015029877492555414,0.0339485346570199,-1.0629854589361967,16.3265306122449,Decelerating,false
2019-04-01,336378.0,2260885.0,727078.0,71967.0,277823.0,1533807.0,0.21930920904650977,0.019585630959839007,0.03570250707727496,0.046920505643800035,0.15387512852029417,2019,2,0.0016101039916222137,0.05310698644810679,0.0018190820995007684,0.05875274253976981,0.33847763110756596,0.5767122267498994,,0.054188295866896,0.035725782706667944,0.0014655244396734057,0.03390830023018839,1.0103797015602924,73.46938775510203,Accelerating,false
2019-07-01,326293.0,2293430.0,761063.0,96101.0,280339.0,1532367.0,0.21293397730439248,-0.02950049550525735,0.009015364861861386,0.06271408872678673,0.2891920411334752,2019,3,0.002045484229490457,0.05279816437916666,0.0010881302360197687,0.05855766516767834,-0.597482509206236,0.1353748412465249,,0.019585630959839007,-0.002691386150693943,0.0016537626478689,0.03387244025504056,-0.1282797686215194,38.775510204081634,Stable,false
2019-10-01,347069.0,2323254.0,758260.0,82443.0,286260.0,1564994.0,0.22177017931059162,0.040659465369609515,0.02090090362461794,0.052679435192722786,-0.15329257628732407,2019,4,0.005731965259155614,0.05279125008839926,0.005182318678466924,0.05682637118533366,0.661615325493668,0.27660722686103584,,-0.02950049550525735,0.011163838627158218,0.004304285253600637,0.03232821432493522,0.2121847283184679,61.22448979591836,Stable,false
2020-01-01,262534.0,2126857.0,714888.0,96258.0,300621.0,1411969.0,0.18593467703611058,-0.1762462040247621,0.04894984640212918,0.06817288481545983,0.15492494113494715,2020,1,-0.0012436904077685717,0.06620978752254475,0.0075904969587251795,0.057644910151524294,-2.6431517176732267,0.7174848453174377,,0.040659465369609515,-0.044030207130009213,0.0034063359172783305,0.03344640720000376,-1.4182851618000456,12.244897959183673,Decelerating,true
2020-04-01,334093.0,2278139.0,728126.0,82239.0,281771.0,1550013.0,0.21554206319559902,0.14776066604172966,-0.0647556508543552,0.0530569743608602,-0.1574024444971407,2020,2,0.004865138745350939,0.07399402403160642,0.0035210417254097235,0.059805279813562845,1.9311765938738668,-1.1416499143990444,,-0.1762462040247621,-0.018770817705563665,0.002391024286773806,0.03381240007703124,-0.6258603927590667,26.530612244897956,Decelerating,false
2020-07-01,346453.0,2338665.0,726776.0,93136.0,333573.0,1611889.0,0.21493601606562238,-0.002815695198319368,0.1687670476535139,0.057780653630616005,0.12443114842952596,2020,3,0.006184384078894123,0.07358879656465914,0.015777296580933343,0.06723016866015757,-0.12230230276025142,2.275611591069032,,0.14776066604172966,0.09278171694865611,0.008120876337663813,0.03883175281639625,2.180196217546102,95.91836734693877,Accelerating,false
2020-10-01,386541.0,2310139.0,697964.0,69981.0,411054.0,1612175.0,0.23976367329849427,0.10931335948086418,0.20886286076969185,0.0434078186301115,-0.2858370138948505,2020,4,0.013949693995193668,0.07594943984074454,0.029534341810444342,0.07699687154415213,1.255620392798616,2.329036431777823,,-0.002815695198319368,0.09495556566535686,0.015127997478301496,0.04127363718098972,1.9341054881352508,97.95918367346938,Accelerating,false
2021-01-01,411104.0,2359368.0,704467.0,60923.0,470398.0,1654901.0,0.24841606839321506,0.03545129191833207,0.1348545521476492,0.036813682510313306,-0.13861300490869866,2021,1,0.01060800080946257,0.0732816690993965,0.03735087124645116,0.07944219072560038,0.3390109888896362,1.2273538784697349,,0.10931335948086418,0.08615383062254758,0.018463311033715603,0.04423042143391018,1.53040638986396,93.87755102040816,Accelerating,false
2021-04-01,512296.0,2460614.0,747643.0,59791.0,494562.0,1712971.0,0.29906869409931636,0.1855682576141382,0.050093377499635494,0.03490485244642204,-0.018755623767997776,2021,2,0.021268711515537875,0.08236905673774875,0.03741628831598591,0.07945263979252731,1.9946755809248427,0.15955529252083944,,0.03545129191833207,0.09915859959198038,0.021574356968523528,0.047653976772107545,1.6280748822807136,99.99999999999999,Accelerating,false
2021-07-01,471054.0,2485549.0,755919.0,60518.0,513678.0,1729630.0,0.2723437960719923,-0.09360806883172867,0.037924087629342296,0.03498898608372889,0.012085693489625626,2021,3,0.016041143076067556,0.08628352277682265,0.03637957085564061,0.07929599802557066,-1.2708012883457516,0.019477865367223537,,0.1855682576141382,0.036986684539592474,0.02295539897477543,0.0476817713506908,0.2942693857075795,79.59183673469387,Accelerating,false
2021-10-01,484574.0,2604594.0,827656.0,67633.0,517568.0,1776938.0,0.27270169246197673,0.0013132718239179386,0.007544307469679268,0.038061541820817606,0.11115518816783165,2021,4,0.01584734766268354,0.08631352693601503,0.041643137664587736,0.07318399322083101,-0.16838699975196053,-0.46593289999926674,,-0.09360806883172867,-0.030351438494118047,0.022364123557843996,0.04829263929191429,-1.0915858570767385,18.36734693877551,Decelerating,false
