date,pb_intensity,pb_intensity_g,pb_intensity_g_z,dealer_supply_g,dealer_supply_g_z,hf_equity,year,quarter
2012-10-01,0.19742327768318535,,,,,805209.0,2012,4
2013-01-01,0.23142886102542956,0.1589224890735328,,0.06984152979990021,,868202.0,2013,1
2013-04-01,0.22658540226557128,-0.021150604712788068,,0.02273481368795771,,884192.0,2013,2
2013-07-01,0.22761204568513582,0.004520699852595067,,-0.0422371421235237,,920562.0,2013,3
2013-10-01,0.2077795110309182,-0.09116515131693537,,0.06534718596693523,,1112872.0,2013,4
2014-01-01,0.21059608860254928,0.013464552552279851,,-0.011952391496286907,,1108862.0,2014,1
2014-04-01,0.2123594945647721,0.008338540735927769,,0.11370815684256641,,1183851.0,2014,2
2014-07-01,0.20439869369066055,-0.038208100262622224,,0.02363440213148138,,1188080.0,2014,3
2014-10-01,0.19774974401116568,-0.03307015522369361,,-0.06098286522432517,,1226616.0,2014,4
2015-01-01,0.19061757989312775,-0.03673309068627839,,0.0007862807969640784,,1321578.0,2015,1
2015-04-01,0.19555727522716854,0.02558408297933945,,0.016633453811953913,,1328419.0,2015,2
2015-07-01,0.1899294528768973,-0.02920060186918305,,-0.07635804945695845,,1279712.0,2015,3
2015-10-01,0.18139189632417213,-0.04599283884512673,,-0.06627804382052815,,1274434.0,2015,4
2016-01-01,0.200927675384914,0.10228515563295404,,-0.02147603657248709,,1262295.0,2016,1
2016-04-01,0.19544891928271935,-0.027645956507367897,,0.04878503610894036,,1292660.0,2016,2
2016-07-01,0.19759952131216782,0.010943299957677732,,0.058658436836248384,,1335317.0,2016,3
2016-10-01,0.19862756586152885,0.005189180091598189,,-0.09772702870926331,,1358608.0,2016,4
2017-01-01,0.21787878092769464,0.0925073144519648,,0.07039667299345886,,1395028.0,2017,1
2017-04-01,0.21762241282693634,-0.001177347543696472,,0.06137737744032634,,1422257.0,2017,2
2017-07-01,0.22218474158879045,0.020747695328814375,,0.012917836341571842,,1470389.0,2017,3
2017-10-01,0.22161476801686097,-0.002568609802272137,-0.14671825195226973,0.1101583694370607,1.5505113079808568,1555307.0,2017,4
2018-01-01,0.2194963349063039,-0.00960506041773379,-0.1579426855910476,0.05339088557674643,0.6469480868419841,1568582.0,2018,1
2018-04-01,0.22742845537227324,0.035500172140855435,0.7914402463987591,-0.024102488790866516,-0.5844298492955052,1575590.0,2018,2
2018-07-01,0.23472066207376,0.031560428035580346,0.6647332098081807,0.009755200797970431,-0.07630943494654889,1565022.0,2018,3
2018-10-01,0.20371230332167833,-0.1416874144551008,-2.7277702446264227,-0.0922161678622686,-1.5611137573822185,1464320.0,2018,4
2019-01-01,0.21505568971090533,0.054188295866896,1.0032957276652337,-0.02667413692328502,-0.5100011119262571,1512757.0,2019,1
2019-04-01,0.21930920904650977,0.019585630959839007,0.33847763110756596,0.03570250707727496,0.5767122267498994,1533807.0,2019,2
2019-07-01,0.21293397730439248,-0.02950049550525735,-0.597482509206236,0.009015364861861386,0.1353748412465249,1532367.0,2019,3
2019-10-01,0.22177017931059162,0.040659465369609515,0.661615325493668,0.02090090362461794,0.27660722686103584,1564994.0,2019,4
2020-01-01,0.18593467703611058,-0.1762462040247621,-2.6431517176732267,0.04894984640212918,0.7174848453174377,1411969.0,2020,1
2020-04-01,0.21554206319559902,0.14776066604172966,1.9311765938738668,-0.0647556508543552,-1.1416499143990444,1550013.0,2020,2
2020-07-01,0.21493601606562238,-0.002815695198319368,-0.12230230276025142,0.1687670476535139,2.275611591069032,1611889.0,2020,3
2020-10-01,0.23976367329849427,0.10931335948086418,1.255620392798616,0.20886286076969185,2.329036431777823,1612175.0,2020,4
2021-01-01,0.24841606839321506,0.03545129191833207,0.3390109888896362,0.1348545521476492,1.2273538784697349,1654901.0,2021,1
2021-04-01,0.29906869409931636,0.1855682576141382,1.9946755809248427,0.050093377499635494,0.15955529252083944,1712971.0,2021,2
2021-07-01,0.2723437960719923,-0.09360806883172867,-1.2708012883457516,0.037924087629342296,0.019477865367223537,1729630.0,2021,3
2021-10-01,0.27270169246197673,0.0013132718239179386,-0.16838699975196053,0.007544307469679268,-0.46593289999926674,1776938.0,2021,4
2022-01-01,0.2670641755857965,-0.02088950862869865,-0.3666911131477093,0.0031232090822541636,-0.47936830737001873,1779415.0,2022,1
2022-04-01,0.24881815817439126,-0.07076664630019569,-0.89429293918562,-0.10615544995811099,-1.7041137825354584,1699466.0,2022,2
2022-07-01,0.23406829034119028,-0.06110942937205488,-0.7252860658205762,-0.017899778946677714,-0.5748158610523442,1683137.0,2022,3
2022-10-01,0.23750022402638135,0.01455565489734445,0.12624621782994627,-0.18380975296931368,-2.171881364203252,1673910.0,2022,4
2023-01-01,0.2415528299498736,0.016919639981869405,0.1380668751014172,-0.029470129251645716,-0.42891598576049156,1698705.0,2023,1
2023-04-01,0.2517341436234512,0.041285338276065175,0.41152332924181156,0.026622862735868225,0.16072993418742954,1694208.0,2023,2
2023-07-01,0.23405706036492394,-0.07280861165612951,-0.8126814322924935,0.05487533452199678,0.44513276189755435,1701286.0,2023,3
2023-10-01,0.25172802613149686,0.0727843099614951,0.7382227480706779,-0.010128485481432747,-0.3248832822216693,1779921.0,2023,4
2024-01-01,0.26562787894815565,0.05374713470647752,0.5126222493787963,0.0862111017528111,0.702739874441969,1845292.0,2024,1
2024-04-01,0.254935526477036,-0.04108570216828378,-0.5719444044348375,0.038968596956619805,0.16666395679342025,1836025.0,2024,2
2024-07-01,0.2683423718413188,0.05125299621913659,0.466593690018843,0.0010814429451588836,-0.256865819976674,1919749.0,2024,3
2024-10-01,0.276026611372091,0.028233607020198725,0.20370309536960557,0.0726503143767463,0.5182241997415538,1943530.0,2024,4
2025-01-01,0.28002768753484536,0.0143912032495086,-0.08383331812841126,-0.017987236477368995,-0.4583010245512777,1960449.0,2025,1
2025-04-01,0.30827941618652915,0.0961180847977694,1.1401591884887523,0.06014736704389634,0.3525180401089446,2055314.0,2025,2
