,date,hf_margin_loans,hf_aum_proxy,leverage_ratio,^W5000_qtr_end,market_valuation,lci,lci_velocity,lci_zscore,lci_percentile,regime
0,2012-12-31,158967.0,45681.5565876116,3.479894554274237,14995.0703125,1.0377753984495268,3.6113489576242848,,,41.17647058823529,Normal
1,2013-03-28,200927.0,57698.18225934709,3.482380070430206,16598.169921875,1.1147599404113044,3.882017799802291,7.494951203941942,,88.23529411764706,Expansion
2,2013-06-28,200345.0,57538.79014369419,3.4819119327964576,16992.08984375,1.0895618497249748,3.7937584060771705,-2.2735442822960623,,74.50980392156863,Normal
3,2013-09-30,209531.0,60180.69251953125,3.4816980534412774,17982.4296875,1.0959688620470078,3.815832653621319,0.5818569656093077,,84.31372549019608,Expansion
4,2013-12-31,231232.0,66411.14122698102,3.481825424587897,19706.029296875,1.1311882324680578,3.938599947801928,3.2173133710174535,,92.15686274509804,Expansion
5,2014-03-31,233522.0,67070.50159946986,3.481739280772664,19996.009765625,1.092511771653047,3.803841150070949,-3.4214898572317813,,78.43137254901961,Expansion
6,2014-06-30,251402.0,72194.24081124442,3.482299933831336,20862.740234375,1.0923990936062966,3.8040612913826184,0.005787342399024208,,80.3921568627451,Expansion
7,2014-09-30,242842.0,69746.73663783481,3.481768634724452,20760.4609375,1.043809628886442,3.634303626480184,-4.462537585474464,-1.3512021989589567,45.09803921568628,Normal
8,2014-12-31,242563.0,69682.93682477677,3.480952598337578,21669.859375,1.0585864324830598,3.684889192716814,1.391891581871556,-1.124265265851251,52.94117647058824,Normal
9,2015-03-31,251916.0,72360.08842773437,3.4814219478405852,21947.91015625,1.0456954792969078,3.6405071923819348,-1.2044324269668794,-1.1930473388819858,49.01960784313725,Normal
10,2015-06-30,259782.0,74605.65919642856,3.4820682880908853,21841.75,1.0155741667560427,3.5362986002655408,-2.8624745566897705,-1.506374525641244,31.372549019607842,Normal
11,2015-09-30,243055.0,69796.37310198102,3.4823442708816255,20119.279296875,0.9304345422401057,3.2400933976001998,-8.376136637417977,-1.9893911108325795,11.76470588235294,Contraction
12,2015-12-31,231172.0,66419.58039620536,3.4804796811575036,21167.859375,0.976312778625957,3.398036788462067,4.8746554953894,-0.9966775510997078,13.725490196078432,Contraction
13,2016-03-31,253630.0,72837.13989118302,3.482152105078773,21224.3203125,0.9982584023460187,3.4760875971417615,2.296938306986955,-0.4242967227873554,23.52941176470588,Contraction
14,2016-06-30,252649.0,72565.37773646762,3.481674152066484,21711.380859375,0.9982584023460187,3.4756104765313176,-0.01372579364329688,-0.23872980893839696,19.607843137254903,Contraction
15,2016-09-30,263858.0,75783.09172363281,3.4817529081848795,22576.669921875,0.9982584023460187,3.4756890954882422,0.0022620186426382176,-0.10983246885481891,21.568627450980394,Contraction
16,2016-12-30,269857.0,77511.9525390625,3.481488869268315,23425.859375,0.9982584023460187,3.475425516421235,-0.007583505306883899,0.09369459512442066,17.64705882352941,Contraction
17,2017-03-31,303947.0,87272.93261230469,3.482717847356332,24624.720703125,0.9982584023460187,3.4766523541238974,0.035300359534840925,0.3582958238931069,27.450980392156865,Normal
18,2017-06-30,309515.0,88874.38932059152,3.4826118341416015,25230.41015625,0.9982584023460187,3.476546525541533,-0.0030439794257538975,0.47343204257192406,25.49019607843137,Contraction
19,2017-09-29,326698.0,93801.36916155134,3.4828702706603103,26233.33984375,1.075123410880872,3.744515365047899,7.707903160151873,2.385694416930218,68.62745098039215,Normal
20,2017-12-29,344679.0,98966.1122593471,3.482798223868251,27794.169921875,1.0912711654294276,3.8006772767162467,1.4998446045267975,1.8138964683782568,76.47058823529412,Normal
21,2018-03-29,344298.0,98850.54475516181,3.4830157067194243,27410.720703125,1.0358928632813726,3.608031113287578,-5.068732475889491,0.3046181814404723,39.21568627450981,Normal
22,2018-06-29,358334.0,102878.04014718192,3.4830951239676744,28394.130859375,1.0409730291667043,3.6258080820724077,0.4927055290449429,0.30643050785804066,43.13725490196079,Normal
23,2018-09-28,367343.0,105484.68971261161,3.482429544996623,30259.8203125,1.0691733932781389,3.7233210134760846,2.689412379155526,0.81370689756341,64.70588235294117,Normal
24,2018-12-31,298300.0,85679.19154087611,3.4815921419810087,25749.720703125,0.9033190277086083,3.1449884285722156,-15.532708106839783,-2.0449751821342104,7.8431372549019605,Contraction
25,2019-03-29,325327.0,93462.7423563058,3.480820183509741,29266.91015625,1.0283221248777714,3.579404407424171,13.81295952968497,-0.041187709953028506,35.29411764705882,Normal
26,2019-06-28,336378.0,96637.69088867187,3.480815786332402,30268.05078125,1.0488006192544084,3.650681752215944,1.9913185736692345,0.20272230326987098,50.98039215686274,Normal
27,2019-09-30,326293.0,93757.73002720423,3.4801717138984123,30351.919921875,1.045548929213402,3.6386898089452546,-0.3284850360733349,0.21602178247511122,47.05882352941176,Normal
28,2019-12-31,347069.0,99738.08934849329,3.479803977268019,32886.73828125,1.0988551096203953,3.8238003808983367,5.087286404518775,1.127247374913607,86.27450980392157,Expansion
29,2020-03-31,262534.0,75462.96305524552,3.478978155254811,25899.9296875,0.8457876015841467,2.9424765898966054,-23.048373429856696,-1.87743277668817,5.88235294117647,Contraction
30,2020-06-30,334093.0,96008.67677804129,3.4798208996503153,31630.509765625,1.0336607512506104,3.5969542853501197,22.242409598117202,0.2774527985928887,37.254901960784316,Normal
31,2020-09-30,346453.0,99589.9761453683,3.478793884781071,34480.26953125,1.0939404052003057,3.8055931919257504,5.800432533307056,0.9015823646948368,82.35294117647058,Expansion
32,2020-12-31,386541.0,111130.77726702008,3.4782533651432717,39456.66015625,1.198561654006229,4.1689011063788515,9.54668289884279,1.5025992229020642,100.0,Expansion
33,2021-03-31,411104.0,118188.76845842633,3.478367744771014,41741.87109375,1.1810603231797465,4.10816213277726,-1.4569540521998507,1.0344876579566902,98.0392156862745,Expansion
34,2021-06-30,512296.0,147159.77825334822,3.481222967854969,45113.859375,1.1602988190405479,4.039258898418952,-1.6772277269331504,0.696377738972663,96.07843137254902,Expansion
35,2021-09-30,471054.0,135371.73268973213,3.479707252323063,44850.03125,1.0693210043724524,3.7209240539762045,-7.881021059762972,-0.14044902743217122,62.745098039215684,Normal
36,2021-12-31,484574.0,139297.78458844867,3.4786913620461375,48461.16015625,1.0863356389050036,3.779026403341708,1.5615032320644908,0.022731456073025395,72.54901960784314,Normal
37,2022-03-31,475218.0,136574.68818638392,3.479546659125214,45606.671875,1.0002682267092184,3.4804799664751633,-7.900088673700369,-1.4449340213992414,29.411764705882355,Normal
38,2022-06-30,422858.0,121473.94546177455,3.4810592377858103,37564.23046875,0.8368315940045045,2.913060350780405,-16.30291284995987,-2.0560083918838505,3.9215686274509802,Contraction
39,2022-09-30,393969.0,113189.71756138392,3.480607677869208,35836.921875,0.8276158490419363,2.8806060785016068,-1.1140954312911404,-1.4842236111008242,1.9607843137254901,Contraction
40,2022-12-30,397554.0,114253.1511174665,3.47958893134829,38073.94140625,0.9280894446537975,3.2293697589185353,12.107302106310334,-0.6081334948578143,9.803921568627452,Contraction
41,2023-03-31,410327.0,117948.68289202008,3.4788603818123773,40708.41015625,1.024349956404899,3.563570480448239,10.348790831608646,0.27195665109942846,33.33333333333333,Normal
42,2023-06-30,426490.0,122639.74887834821,3.477583767910796,44883.609375,1.0641772333901665,3.7007654730178614,3.8499306614630404,0.8125596538218932,60.78431372549019,Normal
43,2023-09-29,398198.0,114527.719906529,3.476870056655162,43249.30078125,1.0641772333901665,3.7000059577484015,-0.020523193782409056,0.8235057504552238,54.90196078431373,Normal
44,2023-12-29,448056.0,128861.16913085937,3.477044349527794,48295.37890625,1.0641772333901665,3.7001914362553987,0.005012924549724499,0.8782755212407707,58.82352941176471,Normal
45,2024-03-28,490161.0,140972.02685546875,3.4770089565537456,52915.8203125,1.0641772333901665,3.7001537718581945,-0.001017904015320981,0.7636219444544283,56.86274509803921,Normal
46,2024-06-28,468068.0,134686.95083844865,3.4752290187445696,54470.66015625,1.1312173836206822,3.931239478066903,6.245300072830724,1.1349767164621336,90.19607843137256,Expansion
