,date,hf_margin_loans,hf_aum_proxy,leverage_ratio,^SPX_qtr_end,market_valuation,lci,lci_velocity,lci_zscore,lci_percentile,regime
0,2012-12-31,158967.0,45444.10118111746,3.4980777673748467,1426.18994140625,1.0346635606941017,3.6193335983769326,,,29.411764705882355,Normal
1,2013-03-28,200927.0,57435.17510968889,3.49832658499382,1569.18994140625,1.1055497529551641,3.8675740917964005,6.858734810485275,,78.43137254901961,Expansion
2,2013-06-28,200345.0,57269.53847194126,3.498282077096839,1606.280029296875,1.0821515594613995,3.785671405166208,-2.1176759561999927,,66.66666666666666,Normal
3,2013-09-30,209531.0,59895.42712585449,3.498280420635881,1681.550048828125,1.0813962739509357,3.783027412111154,-0.0698421170798382,,64.70588235294117,Normal
4,2013-12-31,231232.0,66098.63201402937,3.4982872255347317,1848.3599853515625,1.1244440598885337,3.9336282905364683,3.980961859889626,,88.23529411764706,Expansion
5,2014-03-31,233522.0,66753.33737797328,3.498282021133159,1872.3399658203125,1.0877578688979928,3.8052837961119677,-3.262750950141175,,72.54901960784314,Normal
6,2014-06-30,251402.0,71863.44688180106,3.498329274596288,1960.22998046875,1.0927707183977173,3.8228717945923507,0.46219938965796775,,76.47058823529412,Normal
7,2014-09-30,242842.0,69417.94364711216,3.498259776096125,1972.2900390625,1.0545585652385367,3.6891198103116145,-3.4987305739610544,-1.0115709763560612,43.13725490196079,Normal
8,2014-12-31,242563.0,69339.74503400529,3.498181308296466,2058.89990234375,1.0660274256910591,3.729157214683863,1.0852833854931525,-0.9552931501986134,49.01960784313725,Normal
9,2015-03-31,251916.0,72012.18807312012,3.4982411552917707,2067.889892578125,1.0408327819490557,3.641084073591012,-2.3617438478071016,-1.4837259236608114,39.21568627450981,Normal
10,2015-06-30,259782.0,74259.53299830845,3.4982983263026655,2063.110107421875,1.012753860592677,3.5429151354679247,-2.6961458768588265,-1.6630636577724343,19.607843137254903,Contraction
11,2015-09-30,243055.0,69477.8862397984,3.4983073486304908,1920.030029296875,0.9365290392498054,3.2762664202134473,-7.526251831015427,-1.996735401201736,11.76470588235294,Contraction
12,2015-12-31,231172.0,66084.91180611747,3.4981055990242007,2043.93994140625,0.9916898413750762,3.4690357866095756,5.883812293371717,-0.8268203576005858,13.725490196078432,Contraction
13,2016-03-31,253630.0,72501.75973554338,3.4982599170715027,2059.739990234375,1.0127324905574548,3.5428014784331383,2.126403310922798,-0.2718522596311678,17.64705882352941,Contraction
14,2016-06-30,252649.0,72222.15862330845,3.498220003610663,2098.860107421875,1.035369428287772,3.62195004516322,2.2340672265126824,0.40244567806454257,31.372549019607842,Normal
15,2016-09-30,263858.0,75425.9447253418,3.498239245936131,2168.27001953125,1.0515274165000075,3.678494476578154,1.561159892043349,0.811839306673301,41.17647058823529,Normal
16,2016-12-30,269857.0,77141.17952636718,3.4982223717199155,2238.830078125,1.068831894164583,3.739011643774317,1.6451612903455533,1.2132824104128357,50.98039215686274,Normal
17,2017-03-31,303947.0,86883.3475994873,3.4983343574781136,2362.719970703125,1.0806648590539463,3.7805270053476634,1.1103298285382972,1.2274631334579147,62.745098039215684,Normal
18,2017-06-30,309515.0,88475.26681631905,3.498322312410486,2423.409912109375,1.0689667440406339,3.7395902119021383,-1.082832985655674,0.7847339180242415,52.94117647058824,Normal
19,2017-09-29,326698.0,93386.3745161656,3.498347608980656,2519.360107421875,1.0751047856418383,3.7610902562537856,0.5749304905980954,0.8384597740656751,58.82352941176471,Normal
20,2017-12-29,344679.0,98526.50246259416,3.4983379231477163,2673.610107421875,1.0920530048888983,3.8203704410902515,1.5761436391455181,1.2053594439739599,74.50980392156863,Normal
21,2018-03-29,344298.0,98417.07236990791,3.4983564508597684,2640.8701171875,1.0366298635599658,3.626500770338888,-5.074630163247662,-1.312497914549564,35.29411764705882,Normal
22,2018-06-29,358334.0,102428.71433419363,3.498374477598787,2718.3701171875,1.035406216787548,3.622238682756674,-0.11752617335899283,-1.3733135497910245,33.33333333333333,Normal
23,2018-09-28,367343.0,105006.13750680105,3.4983002776976524,2913.97998046875,1.0707644142355743,3.745855447669074,3.4127172651781827,0.23465220629623235,54.90196078431373,Normal
24,2018-12-31,298300.0,85272.4413052804,3.498199364693551,2506.85009765625,0.9129343004953941,3.193626189999939,-14.742407051846318,-2.3206080736157046,7.8431372549019605,Contraction
25,2019-03-29,325327.0,93000.17342686244,3.4981332616099357,2834.39990234375,1.033405135908879,3.6149888786413857,13.193863764044808,-0.1303788682473846,27.450980392156865,Normal
26,2019-06-28,336378.0,96159.4808001709,3.4981262086785536,2941.760009765625,1.0551748604794,3.6911348341817254,2.106395291842708,0.29334456346114185,45.09803921568628,Normal
27,2019-09-30,326293.0,93278.66437840053,3.4980453694784672,2976.739990234375,1.0568072133935642,3.6967595792427996,0.15238525043805864,0.37326564181734534,47.05882352941176,Normal
28,2019-12-31,347069.0,99219.11007908412,3.4980055729522603,3230.780029296875,1.1089546239622663,3.879129454771186,4.933236030614161,1.2394588892474285,80.3921568627451,Expansion
29,2020-03-31,262534.0,75054.94461225237,3.497890796619715,2584.590087890625,0.8629211611737083,3.018403987877912,-22.188624456309732,-1.8320767764592447,5.88235294117647,Contraction
30,2020-06-30,334093.0,95509.39793282645,3.4980117897400405,3100.2900390625,1.0309839647964458,3.6063940638908982,19.480164960501938,0.17215949014236925,25.49019607843137,Contraction
31,2020-09-30,346453.0,99045.42392857141,3.4979203102795693,3363.0,1.0851365678696527,3.7957212401783225,5.249763972913189,0.7814852492931933,70.58823529411764,Normal
32,2020-12-31,386541.0,110506.016940482,3.4979181288217913,3756.070068359375,1.167316221212712,4.083176572247694,7.5731412788328605,1.3321150504282788,100.0,Expansion
